CET No,Marks,Rank
647011159,192.0,121
287011190,192.0,121
161011783,192.0,121
656011119,192.0,121
642011362,192.0,121
652011255,192.0,121
619011121,192.0,121
656011267,192.0,121
286011132,192.0,121
627011153,192.0,121
649011466,192.0,121
645011096,192.0,121
619011157,192.0,121
647011345,192.0,121
474011118,192.0,121
487011315,192.0,121
188011466,192.0,121
475011243,192.0,121
484011555,192.0,121
482011210,192.0,121
473011483,192.0,121
472011394,192.0,121
490011406,192.0,121
479011215,192.0,121
480011070,192.0,121
478011131,192.0,121
482011518,192.0,121
476011130,192.0,121
476011137,192.0,121
475011320,192.0,121
470011142,192.0,121
105011100,192.0,121
475011006,192.0,121
480011321,192.0,121
712011235,192.0,121
490011224,192.0,121
483011410,192.0,121
716011142,192.0,121
714011071,192.0,121
487011081,192.0,121
156011071,192.0,121
151011326,192.0,121
219011154,192.0,121
152011322,192.0,121
151011206,192.0,121
149011296,192.0,121
213011410,192.0,121
148011076,192.0,121
293011020,192.0,121
135011179,192.0,121
713011049,192.0,121
462011170,192.0,121
483011295,192.0,121
719011164,192.0,121
486011060,192.0,121
719011257,192.0,121
477011339,192.0,121
479011063,192.0,121
212011173,192.0,121
704011300,192.0,121
713011178,192.0,121
851011180,192.0,121
448011075,192.0,121
422011056,192.0,121
421011248,192.0,121
421011060,192.0,121
118011221,192.0,121
411011385,192.0,121
411011266,192.0,121
411011205,192.0,121
410011321,192.0,121
409011517,192.0,121
409011365,192.0,121
409011306,192.0,121
116011668,192.0,121
116011498,192.0,121
115011418,192.0,121
294011180,192.0,121
293011717,192.0,121
293011224,192.0,121
293011151,192.0,121
293011105,192.0,121
408011044,192.0,121
416011320,192.0,121
416011223,192.0,121
415011211,192.0,121
415011100,192.0,121
415011091,192.0,121
415011012,192.0,121
414011475,192.0,121
133011232,192.0,121
132011032,192.0,121
129011022,192.0,121
128011161,192.0,121
123011375,192.0,121
120011294,192.0,121
119011020,192.0,121
118011587,192.0,121
411011411,192.0,121
409011300,192.0,121
409011161,192.0,121
409011087,192.0,121
409011039,192.0,121
408011372,192.0,121
408011340,192.0,121
408011270,192.0,121
408011237,192.0,121
421011023,192.0,121
420011234,192.0,121
420011186,192.0,121
417011302,192.0,121
414011342,192.0,121
414011298,192.0,121
414011240,192.0,121
414011039,192.0,121
414011003,192.0,121
413011056,192.0,121
412011231,192.0,121
412011067,192.0,121
848011117,192.0,121
720011003,192.0,121
695011081,192.0,121
483011454,192.0,121
486011375,192.0,121
